idx,name,status,tflops_median,tflops_min,tflops_max,step_time_s,hbm_gb,tokens_per_s_per_gpu,mfu_pct,args
1,A1_V4_champion,OK,854.0,263.3,854.4,21.00,225,6242,31.6,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules "
2,A2_no_cutedsl,CRASH,,,,,212,,,"--cuda-graph full_iteration --a2a-overlap --recompute-granularity none --recompute-modules --no-paged-stash "
3,A3_no_a2a_overlap,OK,718.6,194.9,718.8,24.95,219,5253,26.6,"--cuda-graph full_iteration --cutedsl --recompute-granularity none --recompute-modules "
4,A4_no_paged_stash,CRASH,,,,,186,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --no-paged-stash "
5,A5_no_router_fusion,OK,843.1,254.5,843.5,21.27,226,6162,31.2,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --no-router-fusion "
6,A6_no_permute_fusion,OK,854.2,263.2,854.5,20.99,225,6244,31.6,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --no-permute-fusion "
7,A7_dispatcher_alltoall,CRASH,,,,,0,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --dispatcher alltoall "
8,A8_graph_none,OK,572.5,571.9,573.4,31.32,187,4185,21.2,"--cuda-graph none --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules "
9,A9_graph_TE,OK,827.7,293.4,829.7,21.67,193,6049,30.7,"--cuda-graph transformer_engine --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules "
10,A10_no_force_lb,HANG,,,,,219,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --no-force-load-balancing "
11,A11_recompute_selective,OK,853.5,263.2,853.9,21.01,225,6239,31.6,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity selective --recompute-modules moe_act "
12,B1_vpp2,OK,852.1,256.3,852.4,21.04,243,6230,31.6,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --vpp 2"
13,B2_vpp4,OK,854.0,259.0,854.3,21.00,231,6242,31.6,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --vpp 4"
14,B3_pp4_ep16,OK,855.7,257.2,857.2,20.96,230,6253,31.7,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --pp 4 --vpp 4 --ep 16"
15,B4_ep16,OK,882.3,264.7,882.8,20.32,241,6450,32.7,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --ep 16"
16,B5_mbs2_TEgraph,HANG,,,,,277,,,"--cuda-graph transformer_engine --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --mbs 2 --gbs 4096"
17,B6_mbs2_pp4,OOM,,,,,105,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --pp 4 --vpp 4 --ep 16 --mbs 2 --gbs 4096"
18,B7_gbs4096_TEgraph,OK,834.2,314.3,835.3,42.99,194,6098,30.9,"--cuda-graph transformer_engine --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --gbs 4096"
19,B8_gbs1024,OK,845.7,249.3,846.0,10.60,223,6183,31.3,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --gbs 1024"
20,C1_fp8_mx,OK,1285.9,324.1,1287.6,13.95,195,9396,23.8,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --precision fp8_mx"
21,C2_fp8_mx_mbs2,OK,1360.4,501.2,1362.0,26.36,276,9945,25.2,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --precision fp8_mx --mbs 2 --gbs 4096"
22,D1_40layer,CRASH,,,,,0,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --num-layers 40"
23,D2_40layer_mbs2,CRASH,,,,,0,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --num-layers 40 --mbs 2 --gbs 4096"
24,D3_40layer_mbs4,CRASH,,,,,0,,,"--cuda-graph full_iteration --cutedsl --a2a-overlap --recompute-granularity none --recompute-modules --num-layers 40 --mbs 4 --gbs 8192"
