config|conc|output_tok_s|median_tpot_ms|median_ttft_ms|duration_s
A2-dcp8|1|64.67|15.16|315.12|126.68
A2-dcp8|32|1019.05|28.16|2496.29|96.47
A2-dcp8|64|1409.07|38.91|6570.24|139.53
A2-dcp8|8|396.84|19.31|899.52|61.93
B-nosymm-noAR|1|64.93|15.09|327.59|126.16
B-nosymm-noAR|64|1401.21|39.34|6347.11|140.31
C1-r060|1|87.68|11.11|309.29|93.43
C1-r060|32|1093.16|26.09|2711.15|89.93
C1-r060|64|1278.40|33.41|6040.03|153.79
C1-r060|8|436.92|16.05|751.20|56.25
C1-r095|1|87.78|11.09|312.28|93.33
C1-r095|32|1138.78|25.34|2293.91|86.32
C1-r095|64|1515.67|36.34|5845.34|129.72
C1-r095|8|434.27|16.02|843.70|56.59
base-r086-isl32k|1|83.36|11.43|730.12|98.28
base-r086-isl32k|32|389.99|39.90|26593.15|252.07
base-r086-isl32k|8|343.79|18.39|4326.14|71.49
base086-isl128k|1|56.57|11.98|6722.89|144.82
base086-isl128k|8|98.60|34.08|39280.49|249.25
dcp8-isl128k|1|63.62|15.31|438.74|128.77
dcp8-isl128k|8|365.22|19.79|2275.33|67.29
dcp8-isl32k|1|61.93|15.21|1329.32|132.28
dcp8-isl32k|32|436.49|49.36|24480.80|225.22
dcp8-isl32k|8|336.96|19.61|2431.38|72.94
dcp8-isl8k|32|1109.88|27.74|1220.00|88.57
dcp8-isl8k|8|399.97|19.31|711.70|61.44
dcp8r060-isl32k|32|432.90|49.64|24690.92|227.08
dcp8r060-isl32k|8|340.95|19.92|3417.42|72.08
r040-isl32k|1|83.50|11.42|728.00|98.11
r040-isl32k|32|419.52|47.86|22796.74|234.33
r040-isl32k|8|409.54|17.02|2005.17|60.01
r040-isl8k|32|890.93|29.99|6183.05|110.34
r040-isl8k|8|442.84|16.25|1870.85|55.50
r060-isl128k|1|56.58|11.99|6704.58|144.79
r060-isl128k|8|108.29|34.40|32137.38|226.95
r060-isl32k|1|83.25|11.45|728.65|98.40
r060-isl32k|32|408.24|42.19|22792.45|240.80
r060-isl32k|8|408.31|17.07|1776.90|60.19
r060-isl8k|32|893.16|29.72|6190.68|110.06
r060-isl8k|8|451.74|16.24|1601.25|54.40
r095-isl32k|1|83.33|11.44|728.41|98.31
r095-isl32k|32|387.66|38.40|27741.43|253.58
r095-isl32k|8|296.36|20.78|6338.46|82.93
