tag,temp_gb,arg_gb,verdict,extra,ts
p16,0.00,0.00,OOM,"per_device_batch_size=16 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 20:35:45
p13,78.50,23.35,OK,"per_device_batch_size=13 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 20:37:04
p14,0.00,0.00,OOM,"per_device_batch_size=14 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 20:37:05
p12-dli-device,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=device out_proj=remat",2026-08-14 20:38:11
p12-outproj-dev,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=device",2026-08-14 20:38:17
p12-qkv-dev,80.48,23.35,OK,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat qkv_proj=device",2026-08-14 20:39:33
p12-remat-full,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=full",2026-08-14 20:40:39
p12-remat-minimal,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=minimal",2026-08-14 20:40:39
p12-mlpwi-dev,80.48,23.35,OK,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat mlpwi=device",2026-08-14 20:42:02
p12-mlpwo-dev,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat mlpwo=device",2026-08-14 20:43:13
p16-alloff,0.00,0.00,OOM,"per_device_batch_size=16 remat_policy=custom decoder_layer_input=offload out_proj=offload mlpwi=offload",2026-08-14 20:43:16
p14-outproj-off,0.00,0.00,OOM,"per_device_batch_size=14 remat_policy=custom decoder_layer_input=offload out_proj=offload",2026-08-14 20:43:16
p15,0.00,0.00,OOM,"per_device_batch_size=15 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 20:48:40
p14-outproj-off-mlpwi-off,0.00,0.00,OOM,"per_device_batch_size=14 remat_policy=custom decoder_layer_input=offload out_proj=offload mlpwi=offload",2026-08-14 20:48:41
p14-sa1024,0.00,0.00,OOM,"per_device_batch_size=14 remat_policy=custom decoder_layer_input=offload out_proj=remat sa_block_q=1024 sa_block_kv=1024 sa_block_kv_compute=1024 sa_block_q_dkv=1024 sa_block_kv_dkv=1024 sa_block_kv_dkv_compute=1024 sa_block_q_dq=1024 sa_block_kv_dq=1024",2026-08-14 20:49:54
p12-rep,80.48,23.35,OK,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 20:52:35
p13-outproj-off,76.65,23.35,OK,"per_device_batch_size=13 remat_policy=custom decoder_layer_input=offload out_proj=offload",2026-08-14 20:52:35
p13-rep,78.50,23.35,OK,"per_device_batch_size=13 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 20:52:36
tile-p12,0.00,0.00,ERR,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 21:04:21
tile-p12,80.48,23.35,OK,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 21:06:39
tile-p12-probe,80.48,23.35,OK,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-14 21:09:02
tilecfg-p12,80.48,23.35,OK,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat wi_tile_fwd_batch_seq=512 wi_tile_fwd_embed_dim=2048 wi_tile_fwd_mlp_dim=1536 wi_tile_dlhs_batch_seq=512 wi_tile_dlhs_embed_dim=2048 wi_tile_dlhs_mlp_dim=1536 wi_tile_drhs_batch_seq=512 wi_tile_drhs_embed_dim=2048 wi_tile_drhs_mlp_dim=1536 wo_tile_fwd_batch_seq=512 wo_tile_fwd_embed_dim=2048 wo_tile_fwd_mlp_dim=1536 wo_tile_dlhs_batch_seq=512 wo_tile_dlhs_embed_dim=2048 wo_tile_dlhs_mlp_dim=1536 wo_tile_drhs_batch_seq=512 wo_tile_drhs_embed_dim=2048 wo_tile_drhs_mlp_dim=1536",2026-08-14 23:13:42
tilecfg-p13,78.50,23.35,OK,"per_device_batch_size=13 remat_policy=custom decoder_layer_input=offload out_proj=remat wi_tile_fwd_batch_seq=512 wi_tile_fwd_embed_dim=2048 wi_tile_fwd_mlp_dim=1536 wi_tile_dlhs_batch_seq=512 wi_tile_dlhs_embed_dim=2048 wi_tile_dlhs_mlp_dim=1536 wi_tile_drhs_batch_seq=512 wi_tile_drhs_embed_dim=2048 wi_tile_drhs_mlp_dim=1536 wo_tile_fwd_batch_seq=512 wo_tile_fwd_embed_dim=2048 wo_tile_fwd_mlp_dim=1536 wo_tile_dlhs_batch_seq=512 wo_tile_dlhs_embed_dim=2048 wo_tile_dlhs_mlp_dim=1536 wo_tile_drhs_batch_seq=512 wo_tile_drhs_embed_dim=2048 wo_tile_drhs_mlp_dim=1536",2026-08-14 23:13:47
tilecfg-p14,0.00,0.00,OOM,"per_device_batch_size=14 remat_policy=custom decoder_layer_input=offload out_proj=remat wi_tile_fwd_batch_seq=512 wi_tile_fwd_embed_dim=2048 wi_tile_fwd_mlp_dim=1536 wi_tile_dlhs_batch_seq=512 wi_tile_dlhs_embed_dim=2048 wi_tile_dlhs_mlp_dim=1536 wi_tile_drhs_batch_seq=512 wi_tile_drhs_embed_dim=2048 wi_tile_drhs_mlp_dim=1536 wo_tile_fwd_batch_seq=512 wo_tile_fwd_embed_dim=2048 wo_tile_fwd_mlp_dim=1536 wo_tile_dlhs_batch_seq=512 wo_tile_dlhs_embed_dim=2048 wo_tile_dlhs_mlp_dim=1536 wo_tile_drhs_batch_seq=512 wo_tile_drhs_embed_dim=2048 wo_tile_drhs_mlp_dim=1536",2026-08-14 23:13:47
rv-sconly,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-15 00:13:53
rv-noflag,0.00,0.00,OOM,"per_device_batch_size=12 remat_policy=custom decoder_layer_input=offload out_proj=remat",2026-08-15 00:13:53
