host,tag,cpus,layers,topo,wall_s,cpu_time_s,avg_cores,peak_rss_gib,rc,ts
chrisya-cc-tw,cctw,80,80,tpu7x-128,117.3,1628.5,13.88,13.9,0:ok1,2026-08-14 17:44:38
chrisya-cc-tw,cctw,4,80,tpu7x-128,441.3,1537.5,3.48,13.8,0:ok1,2026-08-14 17:52:18
chrisya-cc-tw,cctw,8,80,tpu7x-128,260.7,1520.9,5.83,13.8,0:ok1,2026-08-14 17:56:40
chrisya-cc-tw,cctw,16,80,tpu7x-128,166.4,1423.3,8.55,13.9,0:ok1,2026-08-14 17:59:27
chrisya-cc-tw,cctw,32,80,tpu7x-128,127.3,1412.9,11.10,13.8,0:ok1,2026-08-14 18:01:36
chrisya-cc-tw,cctw,64,80,tpu7x-128,111.4,1433.6,12.87,13.9,0:ok1,2026-08-14 18:03:28
chrisya-cc-tw,cctw,2,80,tpu7x-128,785.3,1497.3,1.91,13.9,0:ok1,2026-08-14 18:23:45
chrisya-cc-tw,cctw,24,80,tpu7x-128,142.2,1463.8,10.29,13.8,0:ok1,2026-08-14 18:26:08
chrisya-cc-tw,cctw,48,80,tpu7x-128,118.1,1499.9,12.70,13.8,0:ok1,2026-08-14 18:28:08
chrisya-cc-tw,rep1,32,80,tpu7x-128,128.8,1416.0,11.00,13.8,0:ok1,2026-08-14 19:01:46
chrisya-cc-tw,rep2,32,80,tpu7x-128,128.3,1425.1,11.11,13.8,0:ok1,2026-08-14 19:03:55
chrisya-cc-tw,rep3,32,80,tpu7x-128,128.3,1430.7,11.15,13.8,0:ok1,2026-08-14 19:06:05
chrisya-cc-tw,rep4,32,80,tpu7x-128,127.8,1408.8,11.03,13.8,0:ok1,2026-08-14 19:08:13
chrisya-cc-tw,rep5,32,80,tpu7x-128,127.9,1421.9,11.12,13.9,0:ok1,2026-08-14 19:10:23
aot-c4,c4,32,80,tpu7x-128,NA,NA,NA,NA,NA:ok0,2026-08-14 17:52:14
aot-c4,c4,4,80,tpu7x-128,377.3,1335.1,3.54,11.2,0:ok1,2026-08-14 17:59:03
aot-c4,c4,8,80,tpu7x-128,220.2,1321.9,6.00,10.9,0:ok1,2026-08-14 18:02:44
aot-c4,c4,16,80,tpu7x-128,139.9,1276.9,9.12,10.9,0:ok1,2026-08-14 18:05:05
